segmentKeys,lat_dd,lon_dd,width_m,MSR_03min_glon,MSR_03min_glat
16_1166,39.0966015515,-92.9161018441,502.0,429,216
16_1209,39.0880789877,-92.9069195233,300.0,429,216
16_1251,39.0767295393,-92.9130039281,381.0,429,216
16_1290,39.0695746939,-92.9261908515,429.0,429,216
16_1331,39.0597121494,-92.934176254,474.0,429,216
16_1375,39.0478140138,-92.928640311,345.0,429,217
16_1416,39.0367249846,-92.9206789177,360.0,429,217
16_1460,39.0248267928,-92.9160134614,445.0,429,217
16_1500,39.0140073392,-92.9082295253,424.0,429,217
16_1541,39.0080478241,-92.8940310354,372.0,430,218
16_1582,39.0026272585,-92.8798340167,373.0,430,218
16_1619,38.9934229684,-92.868071267,402.0,430,218
16_1655,38.9844886751,-92.8570037712,373.0,430,218
18_462,38.9751074184,-92.6897445735,375.0,434,218
18_504,38.9753381775,-92.6751976228,390.0,434,218
18_546,38.9758374598,-92.6606493004,375.0,434,218
18_587,38.9752546305,-92.6464524956,360.0,435,218
18_628,38.973723898,-92.6322608307,360.0,435,218
18_668,38.9707057269,-92.6184240783,408.0,435,218
18_707,38.9675519246,-92.6049355512,379.0,435,218
18_748,38.967232663,-92.590739359,465.0,436,218
18_789,38.9696150231,-92.5765272138,459.0,436,218
18_828,38.9711872393,-92.5630117289,379.0,436,218
18_862,38.9647897091,-92.5512775297,381.0,437,219
18_896,38.9558323682,-92.5419856556,375.0,437,219
18_928,38.9478176834,-92.5319975292,424.0,437,219
18_962,38.9408763828,-92.5202736257,381.0,437,219
18_994,38.9329935629,-92.5099430004,479.0,437,219
18_1027,38.9240344228,-92.50100654,300.0,437,219
18_1058,38.9161499055,-92.4906804881,522.0,438,220
18_1090,38.907994146,-92.4803586926,396.0,438,220
18_1128,38.8976990222,-92.4754174183,801.0,438,220
18_1168,38.8868988165,-92.4784370086,390.0,438,220
18_1208,38.8760800054,-92.4773056286,625.0,438,220
18_1239,38.8676566658,-92.4678576284,424.0,438,220
18_1270,38.8592301596,-92.4578932245,408.0,438,220
18_1305,38.8497328806,-92.4503594795,375.0,439,221
18_1344,38.83916611,-92.445428579,424.0,439,221
18_1378,38.8299325311,-92.4366868208,408.0,439,221
18_1410,38.821773714,-92.4267291647,384.0,439,221
18_1449,38.8181924505,-92.4132807695,454.0,439,221
18_1490,38.8187962774,-92.3991074617,360.0,440,221
19_582,38.6939879542,-91.7461052551,513.0,453,223
19_609,38.6875931144,-91.7548399796,510.0,452,224
19_638,38.6839150901,-91.7649060071,487.0,452,224
19_671,38.6820075304,-91.7763204093,443.0,452,224
19_705,38.6821296316,-91.7880448664,465.0,452,224
19_739,38.6825208538,-91.7997648787,480.0,452,224
19_771,38.6802009202,-91.810840098,496.0,451,224
19_800,38.6755719637,-91.8209178599,536.0,451,224
19_830,38.6714861598,-91.8313303383,591.0,451,224
19_859,38.6671256917,-91.8414012323,444.0,451,224
19_890,38.6635820091,-91.8521474799,546.0,450,224
19_921,38.6603076237,-91.8628884129,531.0,450,224
19_949,38.6555355982,-91.8726175109,622.0,450,224
19_978,38.6510363387,-91.8826858299,559.0,450,224
19_1008,38.6429764331,-91.887981703,489.0,450,224
19_1038,38.6349162591,-91.8932763735,632.0,450,224
19_1065,38.6279581152,-91.9007931469,450.0,449,225
19_1092,38.6215497176,-91.9093339524,530.0,449,225
19_1118,38.6162266871,-91.9183737998,468.0,449,225
19_1145,38.6098185303,-91.9270839093,450.0,449,225
19_1170,38.6031299802,-91.9347630315,607.0,449,225
19_1196,38.596989304,-91.9432939141,564.0,449,225
28_8,39.3828625084,-93.1059529114,375.0,425,210
28_23,39.3825968263,-93.1007274555,384.0,425,210
28_37,39.3815196554,-93.0958492648,354.0,426,210
28_50,39.3800365227,-93.0913190216,387.0,426,210
28_62,39.3776068229,-93.0871361098,339.0,426,210
28_73,39.3746360766,-93.0833011453,360.0,426,210
28_86,39.3713941607,-93.0805110424,366.0,426,210
28_99,39.3678813853,-93.0784174254,389.0,426,210
28_113,39.3640977874,-93.0770202138,389.0,426,210
28_128,39.3600432776,-93.0764934232,405.0,426,210
28_143,39.3559884204,-93.0764890011,420.0,426,210
28_158,39.3519335603,-93.0764845799,426.0,426,210
28_173,39.347878468,-93.0768283239,450.0,426,211
28_188,39.3438238315,-93.0764757401,399.0,426,211
28_202,39.3400401941,-93.0750791144,379.0,426,211
28_216,39.3362566473,-93.0735085865,442.0,426,211
28_228,39.3330140483,-93.071416646,416.0,426,211
28_240,39.3297722306,-93.0679326006,408.0,426,211
28_251,39.3268004387,-93.064797185,396.0,426,211
28_263,39.3243697599,-93.060618366,405.0,426,211
28_275,39.3220740927,-93.0564399445,370.0,426,211
28_288,39.3200487559,-93.0519139714,416.0,426,211
28_301,39.3180232423,-93.0473882586,391.0,427,211
28_315,39.3164031683,-93.042515046,382.0,427,211
28_328,39.3150531028,-93.0379902047,356.0,427,211
28_342,39.3139732866,-93.0331176695,305.0,427,211
28_357,39.3130285131,-93.0278973468,352.0,427,211
28_371,39.3124889264,-93.0230252841,371.0,427,211
28_386,39.3123546786,-93.0178054122,364.0,427,211
28_401,39.31235536,-93.0125855846,360.0,427,211
28_415,39.3126261109,-93.0077137752,330.0,427,211
28_430,39.3123560135,-93.0024939177,371.0,427,211
28_445,39.3126263345,-92.9972740794,414.0,428,211
28_460,39.3128964214,-92.992054201,371.0,428,211
28_474,39.3135718023,-92.9871822007,353.0,428,211
28_489,39.3142469258,-92.9819621096,371.0,428,211
28_503,39.3147867211,-92.9770899632,400.0,428,211
28_518,39.3147855768,-92.9718699554,335.0,428,211
28_533,39.3138380573,-92.9666503974,348.0,428,211
28_546,39.3122147169,-92.9621273265,375.0,428,211
55_143,42.8815810844,-99.0243067059,462.0,307,140
55_424,42.8447726987,-99.1259893772,381.0,305,141
55_713,42.8131362782,-99.2305059695,360.0,303,141
55_1000,42.7819556195,-99.3312508808,277.0,301,142
55_1284,42.7594646094,-99.4325050456,561.0,299,142
55_1573,42.7212544037,-99.5251238386,339.0,297,143
55_1868,42.7284172225,-99.6314545028,312.0,295,143
55_2167,42.7341091258,-99.7410903726,189.0,293,143
55_2457,42.7514739439,-99.8472398947,84.0,291,143
56_6217,41.7798560476,-99.1079992068,42.0,305,162
56_6483,41.7235531373,-99.0577696876,108.0,306,163
56_6749,41.6851955098,-98.9798737288,96.0,308,164
56_7014,41.6270780209,-98.9276705547,121.0,309,165
56_7279,41.5818833034,-98.8553820493,148.0,310,166
56_7822,41.5039830475,-98.7362136512,159.0,313,168
56_8086,41.4364710186,-98.6991417742,180.0,314,169
56_8341,41.3803437973,-98.6335642248,171.0,315,170
56_8589,41.3212053715,-98.5677604826,115.0,316,171
56_8861,41.2670752468,-98.5129610475,142.0,317,172
56_9123,41.2662706428,-98.4262935376,138.0,319,172
57_134,41.3935830542,-97.3522272497,278.0,340,170
57_397,41.3739558188,-97.4467097941,176.0,340,170
57_912,41.3178839297,-97.6272541626,237.0,335,171
57_1159,41.272552864,-97.7028846001,169.0,333,172
57_1890,41.1264495359,-97.9212696503,169.0,329,175
57_2615,40.9821424353,-98.1470397119,396.0,325,177
57_2857,40.9302233884,-98.2187958087,484.0,323,179
57_3097,40.8703675596,-98.281801631,261.0,322,180
57_3339,40.8153732858,-98.3505149015,202.0,320,181
57_3598,40.7870482907,-98.4375492497,228.0,319,182
57_3857,40.7548867209,-98.5277356194,244.0,317,182
57_4123,40.7379339696,-98.6209458707,340.0,315,183
57_4653,40.6938030928,-98.8076093524,151.0,311,184
58_5543,41.9045490934,-96.7901229504,123.0,352,160
58_6048,41.7841219037,-96.7316328156,123.0,353,162
58_7296,41.6182823118,-96.4999966385,127.0,358,165
58_8277,41.4631462855,-96.3885118147,105.0,360,168
58_9522,41.2117180496,-96.2886953352,105.0,362,173
58_9771,41.1570701024,-96.3088255261,136.0,361,174
