coarsegrid,mean_from_Landsat,segment_keys
381_197,340.98790322580646,8_94
381_217,238.50996015936255,1_4310
382_198,301.9596774193548,7_72
382_217,215.73228346456693,1_4501
383_199,345.49800796812747,7_354
383_218,234.53629032258064,1_4870
384_199,333.73387096774195,7_500
384_218,243.484,1_5054
385_200,390.8218623481781,7_795
385_218,161.7840909090909,1_5237
386_200,314.50204081632654,7_948
386_218,161.81647940074907,1_5416
387_200,271.8252032520325,7_1101
387_218,289.0368271954674,1_5595
388_200,331.04526748971193,7_1251
388_218,225.44987775061125,1_5783
389_200,312.1422764227642,7_1543
389_217,255.67194570135746,1_5966
390_201,342.40711462450594,7_1684
390_202,260.47265625,7_1835
390_216,176.01162790697674,1_6324
390_217,230.41095890410958,1_6141
391_216,251.3109619686801,1_6505
413_213,455.4708994708995,9_2708
414_213,543.5106382978723,9_2567
415_213,465.3333333333333,9_2428
416_213,520.8153846153846,9_2286
417_213,381.8181818181818,9_2003
418_212,514.429292929293,9_1721
418_213,431.715,9_1864
419_212,572.911214953271,9_1582
419_213,510.33003300330034,9_1309
420_213,498.3068493150685,9_1171
421_211,579.8924731182796,9_894
421_212,419.4220430107527,9_1031
423_211,545.9238095238095,9_745
424_209,515.6634615384615,9_201
424_210,531.5341176470588,9_474
425_210,461.37704918032784,9_73
426_210,553.193853427896,28_99
426_211,539.1466992665037,28_288
427_211,426.3539603960396,28_430
428_211,640.4275184275184,28_546
429_214,424.48157248157247,16_865
429_215,460.3607748184019,16_992
429_216,485.1925,16_1331
429_217,496.1243654822335,16_1500
430_214,419.00742574257424,16_780
430_218,456.2369077306733,16_1655
434_218,425.7566371681416,18_546
435_218,477.6425339366516,18_707
436_218,632.5302325581396,18_828
437_219,471.3317757009346,18_994
438_220,564.6418604651162,18_1270
439_221,511.648401826484,18_1449
439_223,421.3175355450237,15_260
440_221,465.8287037037037,18_1490
440_222,644.1697247706422,15_72
440_223,523.6976744186046,15_404
440_224,480.0845070422535,15_582
441_224,433.04761904761904,15_729
442_224,609.9082568807339,15_868
443_225,440.1933962264151,15_966
443_229,104.75,11_1608
444_228,198.4311111111111,11_994
444_230,190.87224669603523,11_1508
445_228,163.57875457875457,11_888
445_229,162.37827715355806,11_1196
445_230,184.62048192771084,11_1301
446_228,195.2420749279539,11_679
447_227,317.7105263157895,11_360
447_228,254.0096618357488,11_564
449_225,526.1275626423691,19_1196
450_224,620.1573033707865,19_978
451_224,528.234375,19_859
452_224,550.1015801354401,19_739
453_223,506.77354260089686,19_582
457_224,462.234375,10_4759
458_223,443.5749440715884,10_4636
459_223,522.0584269662921,10_4508
460_224,468.28837209302327,10_4376
461_223,865.6107055961071,10_4249
462_224,461.82911392405066,10_4026
463_225,442.90361445783134,10_3921
464_225,394.7280701754386,10_3669
465_226,618.7763157894736,10_3541
47_57,81.10628019323671,89_4243
48_56,66.4,89_3995
49_55,148.9612676056338,89_3749
50_55,99.05357142857143,89_3509
51_54,180.94196428571428,89_3268
52_53,161.14012738853503,89_3027
54_52,63.09965635738832,89_2544
55_51,137.52611940298507,89_2304
55_88,102.96491228070175,90_1848
56_50,139.0702479338843,89_2060
56_85,65.21192052980132,90_1320
56_86,163.73553719008265,90_1681
57_49,122.23972602739725,89_1575
57_82,137.8622754491018,90_617
57_83,116.71428571428571,90_793
57_84,110.63057324840764,90_980
58_49,132.8970099667774,89_1335
60_49,114.99333333333334,89_855
61_49,128.8086642599278,89_616
64_47,307.0637254901961,104_468
65_46,414.8541666666667,104_365
68_44,388.1761363636364,97_2176
69_43,277.25,97_2048
70_42,193.43333333333334,97_1794
71_42,322.0416666666667,97_1602
72_42,427.63,97_1475
73_42,387.17316017316017,97_1349
78_39,280.439588688946,95_207
79_38,230.71391752577318,95_289
79_83,116.4417670682731,88_3592
80_38,370.84143222506395,95_456
80_83,97.0,88_3337
81_38,218.8552338530067,95_617
82_37,260.16083916083915,95_854
82_83,134.32911392405063,88_3080
83_37,189.3170731707317,95_936
84_37,317.2626970227671,95_1189
84_83,200.83229813664596,88_2834
85_37,387.6843910806175,95_1345
85_38,338.51883561643837,95_1426
85_82,132.12738853503186,88_2584
86_39,281.70414201183434,95_1653
86_82,123.75796178343948,88_2341
88_81,264.13529411764705,88_2096
90_81,148.28813559322035,88_1845
91_82,137.18285714285713,88_1595
93_83,124.848,88_1359
94_83,105.02666666666667,88_1102
96_83,204.83937823834196,88_855
98_84,107.45753424657535,88_606
