segmentKeys,lat_dd,lon_dd,width_m
64_1458,42.7664803076,-98.4691164391,242.0
64_1527,42.7694669693,-98.4437892388,216.0
64_1593,42.7762449673,-98.4213579852,189.0
64_1664,42.7734089651,-98.395347678,323.0
64_1735,42.772458099,-98.3693206258,270.0
64_1806,42.7706908853,-98.3433030049,252.0
64_1875,42.7652751879,-98.3180602716,366.0
64_1943,42.7591808573,-98.2931962867,313.0
64_2010,42.7529484284,-98.2687053965,311.0
64_2077,42.746710793,-98.2442194798,325.0
64_2145,42.7401953171,-98.2193754414,298.0
64_2209,42.7311210401,-98.1964020387,279.0
64_2271,42.7205590827,-98.1738214746,312.0
68_198,41.6255236806,-98.2590786006,63.0
68_254,41.6166284701,-98.241716306,60.0
68_311,41.6062724562,-98.2285165798,30.0
68_366,41.601979536,-98.2130875858,42.0
68_421,41.59917313,-98.1980022154,36.0
68_479,41.5896176297,-98.1840830692,92.0
68_534,41.5887402655,-98.1747359629,63.0
68_591,41.5815100446,-98.1651110326,48.0
68_648,41.5788071692,-98.1466123565,30.0
68_701,41.5656329195,-98.1556008529,54.0
68_818,41.548955475,-98.1295592414,30.0
68_874,41.5407689803,-98.1190590003,67.0
68_987,41.5163338466,-98.1041105503,42.0
68_1099,41.5003265426,-98.0958844197,63.0
68_1156,41.4952727287,-98.0889462124,45.0
68_1213,41.4907373385,-98.0793063734,67.0
68_1271,41.4761542925,-98.0804110513,67.0
68_1384,41.4566023461,-98.0684746238,67.0
69_1752,42.8047350138,-97.9028496973,625.0
69_1799,42.7921532876,-97.9149936716,1067.0
69_1844,42.7817637055,-97.9305790441,1039.0
69_1891,42.7738198443,-97.9479512704,1242.0
69_1945,42.7692729458,-97.9678293058,1130.0
69_2000,42.7656712285,-97.9880557104,641.0
69_2056,42.7682819228,-98.0085473512,1735.0
69_2108,42.7653389645,-98.0276608095,951.0
70_435,41.4420524156,-97.4468822059,94.0
70_484,41.4490370314,-97.4639545064,94.0
70_587,41.4395300279,-97.5011652213,180.0
70_640,41.4367771593,-97.5181052057,162.0
70_691,41.4437604529,-97.5359021156,84.0
70_741,41.4573198348,-97.5397278575,129.0
70_840,41.4604659875,-97.5642630821,127.0
70_891,41.4643356552,-97.582139246,84.0
70_941,41.4615752916,-97.599441745,129.0
70_992,41.4525643441,-97.6140022749,101.0
70_1198,41.4392504466,-97.6649178183,92.0
70_1252,41.4404193714,-97.6842852931,96.0
70_1356,41.427056613,-97.6973006102,80.0
70_1406,41.4192546568,-97.7123544111,84.0
70_1459,41.4163551928,-97.7310780659,80.0
70_1509,41.4081571474,-97.747389195,92.0
70_1564,41.4085054338,-97.7671234469,209.0
73_122,41.8172186431,-100.111856403,92.0
73_192,41.8214287068,-100.137215039,105.0
73_259,41.8247131557,-100.160031527,42.0
73_295,41.8225586452,-100.172635736,63.0
73_401,41.8157348224,-100.205379781,122.0
73_505,41.8097049437,-100.226213912,42.0
73_641,41.7952861266,-100.260241323,167.0
73_677,41.7889734546,-100.269143692,96.0
73_710,41.7815795382,-100.278022853,84.0
73_744,41.7752493432,-100.288365114,42.0
73_777,41.7735045191,-100.299339289,36.0
73_846,41.7720978586,-100.316094881,82.0
73_879,41.7729250516,-100.326398877,48.0
73_915,41.7738569616,-100.339231995,30.0
73_949,41.775646612,-100.347932396,63.0
73_1018,41.77834258,-100.371272073,87.0
75_173,41.9470436595,-100.429714399,42.0
75_203,41.9412043807,-100.421260302,63.0
75_234,41.937678277,-100.411411316,54.0
75_265,41.9327962817,-100.401895577,75.0
75_295,41.9283208504,-100.392209226,87.0
75_327,41.9238336848,-100.383428479,48.0
75_360,41.9227505269,-100.372370389,72.0
75_391,41.9188278162,-100.361433191,136.0
75_423,41.9176138358,-100.349830923,123.0
75_456,41.9165379563,-100.337870217,92.0
75_488,41.9134306607,-100.326229597,42.0
75_516,41.9094910506,-100.316381621,82.0
75_547,41.9034833659,-100.310109543,72.0
75_581,41.9015969807,-100.297774034,36.0
75_615,41.9013300788,-100.285471731,60.0
75_649,41.9009267883,-100.273166815,54.0
75_682,41.8982220222,-100.261178425,48.0
75_716,41.8959251334,-100.24883735,36.0
75_745,41.8895396906,-100.239672764,150.0
75_777,41.8858607256,-100.230019575,67.0
75_808,41.8819223079,-100.219277863,30.0
75_837,41.8755344251,-100.2101182,42.0
75_868,41.8677097163,-100.209066892,45.0
75_899,41.8636341961,-100.198326964,54.0
75_930,41.8595632554,-100.187046328,105.0
75_963,41.8573896313,-100.175079025,67.0
75_996,41.8562953531,-100.163132088,84.0
75_1024,41.849614527,-100.155783366,108.0
75_1055,41.8464776653,-100.145247277,63.0
75_1085,41.8422627739,-100.134331824,42.0
77_13,41.2240873456,-98.4209355955,84.0
77_38,41.2230511006,-98.4298927026,135.0
77_114,41.2071553161,-98.4396921683,172.0
77_138,41.2020530604,-98.4463550703,127.0
77_237,41.1823869199,-98.459218989,137.0
77_260,41.1775495649,-98.4649815158,190.0
77_285,41.1708137377,-98.4693279323,140.0
77_310,41.1640679094,-98.4715279444,160.0
77_332,41.1584224658,-98.4780095026,190.0
77_354,41.1525056162,-98.4843133032,108.0
77_379,41.1503810877,-98.4927317551,108.0
77_403,41.144456405,-98.497424804,142.0
77_427,41.138262834,-98.5024764943,138.0
77_451,41.1347865634,-98.5110812977,216.0
77_474,41.130223495,-98.5184421685,139.0
77_498,41.1240282308,-98.5233121009,67.0
77_523,41.1172768578,-98.524432981,67.0
77_547,41.1116283418,-98.5309053884,183.0
77_571,41.1059729842,-98.5357689577,190.0
77_595,41.1003202574,-98.5413461747,202.0
77_619,41.095485662,-98.5488815531,169.0
78_50,42.6927951112,-98.0430765667,84.0
78_72,42.686829285,-98.0404216335,63.0
78_95,42.6806116991,-98.0399680753,90.0
78_118,42.6743910357,-98.0391485156,80.0
78_140,42.6684466354,-98.0390570369,30.0
78_161,42.6630378829,-98.0384082201,42.0
78_183,42.6576613395,-98.0416023332,67.0
78_205,42.6517429075,-98.0446211822,54.0
78_226,42.6460914735,-98.0472694127,54.0
78_247,42.64119708,-98.0435017888,63.0
78_269,42.6352557003,-98.0437757384,60.0
78_291,42.6293249904,-98.0453299885,36.0
78_311,42.6244335902,-98.0419292942,84.0
78_330,42.6205949448,-98.0352206062,54.0
78_351,42.6149375476,-98.0371368457,67.0
78_372,42.6092416746,-98.0344814849,67.0
78_395,42.6030131954,-98.0327491217,67.0
84_4855,41.0368102119,-95.8601729238,223.0
84_5035,40.9908146349,-95.8517638737,174.0
84_5215,40.9481796345,-95.838523455,223.0
84_5392,40.9023161613,-95.8135901249,213.0
84_5572,40.8647551782,-95.8467009832,213.0
84_5938,40.7666245256,-95.8485477248,174.0
84_6118,40.7272897194,-95.8873595089,208.0
84_6293,40.688045528,-95.8464387899,210.0
84_6473,40.660440639,-95.7929265069,214.0
84_6649,40.6147177874,-95.7615891853,244.0
84_6825,40.5720001673,-95.773828296,234.0
84_7007,40.5252536391,-95.7568487449,189.0
84_7196,40.5082814762,-95.7032256541,234.0
88_127,45.6418778042,-109.330106333,150.0
88_364,45.6963783654,-109.392835656,151.0
88_606,45.6984737895,-109.476782053,129.0
88_855,45.7152871156,-109.565753316,337.0
88_1102,45.7306592285,-109.652884532,147.0
88_1359,45.7368631008,-109.747210701,148.0
88_1595,45.7928492024,-109.80617263,142.0
88_1845,45.8371002633,-109.869353256,147.0
88_2096,45.8405095784,-109.958139771,263.0
88_2341,45.8142483291,-110.042809597,233.0
88_2584,45.7725892212,-110.117221585,245.0
88_2834,45.7490744572,-110.206109699,244.0
88_3080,45.7035492006,-110.262634893,92.0
88_3337,45.7096427467,-110.354863994,108.0
88_3592,45.7245880978,-110.450302764,105.0
89_616,47.4219885658,-111.337156622,108.0
89_855,47.4188602559,-111.387448688,94.0
89_1335,47.419892339,-111.472173102,142.0
89_1575,47.407311831,-111.510233833,96.0
89_2060,47.3577644222,-111.570140264,189.0
89_2304,47.3167641893,-111.616143154,156.0
89_2544,47.2979872643,-111.667114457,67.0
89_3027,47.2142162334,-111.76709226,270.0
89_3268,47.1715309939,-111.829817496,155.0
89_3509,47.1355247201,-111.861894873,94.0
89_3749,47.1213695733,-111.928704164,108.0
89_3995,47.0707486508,-111.961805556,94.0
89_4243,47.0235871997,-112.014845849,108.0
90_617,45.7906474699,-111.512262669,107.0
90_793,45.744993116,-111.516858608,62.0
90_980,45.6944850249,-111.519860996,96.0
90_1320,45.6105227128,-111.57294904,87.0
90_1504,45.5774607729,-111.596068365,101.0
90_1681,45.5342720774,-111.592922347,36.0
90_1848,45.4924686939,-111.633565137,42.0
91_1192,47.7946674431,-109.227464062,284.0
91_1336,47.7848657714,-109.170522244,298.0
91_1479,47.7864326075,-109.117195565,300.0
91_1619,47.7987248867,-109.06106311,138.0
91_1759,47.799977782,-109.008131254,239.0
91_1897,47.7925312973,-108.953134584,175.0
91_2031,47.7658862458,-108.934962088,204.0
91_2166,47.7399426927,-108.948394446,192.0
91_2303,47.7355497777,-108.906951164,166.0
91_2444,47.7210203222,-108.851127414,189.0
91_2575,47.6967723157,-108.803741499,169.0
91_2703,47.662483117,-108.789396706,142.0
91_2841,47.6479325133,-108.742272412,175.0
91_2976,47.6284493505,-108.699184741,170.0
91_3116,47.621344835,-108.648388045,152.0
91_3258,47.6167216168,-108.594696437,254.0
91_3400,47.6135566845,-108.540945696,244.0
91_3537,47.5999974925,-108.506857453,150.0
91_3679,47.6122005239,-108.460167092,121.0
91_3817,47.6047387984,-108.428196134,108.0
91_3953,47.588020154,-108.405073443,137.0
91_4092,47.5752806934,-108.373189494,123.0
95_125,47.9429742856,-110.456530188,199.0
95_207,47.9479549507,-110.426144563,231.0
95_289,47.9526996386,-110.403791911,171.0
95_371,47.9538799917,-110.372035078,175.0
95_456,47.9767939861,-110.366732375,407.0
95_535,47.990550198,-110.341030854,150.0
95_617,47.989688845,-110.30927657,204.0
95_700,48.0118708122,-110.317427937,150.0
95_782,48.0203366724,-110.289153068,189.0
95_854,48.0047725058,-110.260810084,212.0
95_936,48.0124721888,-110.241189971,184.0
95_1020,48.0308644436,-110.226634334,293.0
95_1102,48.0371205349,-110.194343764,238.0
95_1189,48.038758876,-110.159302902,327.0
95_1264,48.0241074959,-110.130973546,296.0
95_1345,48.0027178855,-110.122283508,225.0
95_1426,47.9810328371,-110.110389373,237.0
95_1500,47.9611803156,-110.091440409,216.0
95_1576,47.9416010637,-110.073304397,169.0
